username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Daily Mail US,380285402,New York,2023-01-22 06:17:45,Family of BLM leader Patrisse Cullors' cousin files $50m damages claim against LAPD after he died https://t.co/gKcXMSzdUy,1,SocialFlow,
SID EDO,1473495055679827969,NYC,2023-01-22 06:14:38,@MSNBC @thereidout White supremacy sucks but so does blm gangs destroying property and robbing and beating white fo… https://t.co/E5wR52SEWv,0,Twitter for Android,
Eytan Mirsky,283588403,New York City,2023-01-22 04:54:17,@RepMTG But you want the J6 people to be freed. You even did some photo ops with the schmuck in the fake cell. So y… https://t.co/hiXXm3VdSQ,0,Twitter Web App,
Bill Swersey,16306116,NYC,2023-01-22 04:46:51,@KilladazeMusic @ClayTravis @EJHradek_NHL @NHLNetwork It may be true that there are some who claim to be the “leade… https://t.co/QJTeEokdmf,0,Twitter for iPhone,
Coffee,1595094003640172557,NYC,2023-01-22 04:44:02,@DC_Draino Antifa and BLM getting geared up 18 months before the next election maybe.,0,Twitter Web App,
Beavis H. Presley,161185849,New York City,2023-01-22 04:25:23,Enrique Tarrio of Proud Boys sold BLM and anti-Trump shirts. Actually pretty funny. Good income stream.,0,Twitter for iPhone,
Cap,1402954292814823428,"New York, NY",2023-01-22 04:03:05,@JoshuaPHilll How could a training facility be bad? Didn’t you all request MORE training? “Abolish” police? The mos… https://t.co/nrFj2n50Gh,0,Twitter for iPhone,
Dr Phillips resurrected,1438163573272989700,New York,2023-01-22 04:00:41,@RepMTG What Antifa/ BLM insurrection? They never threatened to overthrow the government nor block the resul of the… https://t.co/nuijPX1KER,1,Twitter for iPad,
Trent Britain Jéter,274372804,"New York, New York",2023-01-22 03:57:54,@frankiefo0ter @911NewsBreaks And if they were black they'd look like BLM to you. You look like a disgusting sandwi… https://t.co/Aqiroun8Fe,0,Twitter for Android,
Leo,938597012,New York,2023-01-22 03:51:39,"@JoeyFromPhilly Antifa and BLM are off limits to the press. They burned and looted cities and injured over 2,000 po… https://t.co/FIHfidRCWy",0,Twitter for Android,
Leo,938597012,New York,2023-01-22 03:45:29,"@JackPosobiec BLM is the most insidious and corrupt movement of our lifetime. They injured over 2,000 police office… https://t.co/CSTuM3LoZI",0,Twitter for Android,
Lynn,1613549586,"New York, America",2023-01-22 03:00:11,What is this weird ass update????,0,Twitter for Android,
CMT78,3329305187,"New York, USA",2023-01-22 02:13:19,@issawomanista @mtgreenee Half of BLM are whites,0,Twitter for iPhone,
Lanna William,1603479024512163856,New York,2023-01-22 01:50:09,"Grab this Nurse T-Shirt as a Valentine's Day gift for your nurse girlfriend or wife.
US link:… https://t.co/9B4aKxoDOt",0,Twitter Web App,
Jon Silvestri,1464968473256284160,"New York, USA",2023-01-22 01:31:00,@Blklivesmatter Yep traffic violatins in which the drivers don't obey police. Have warrants and refuse to comply. C… https://t.co/8nbLhQHQOu,0,Twitter for Android,
Jacqueline Toboroff,1316565121712508928,"Manhattan, NY",2023-01-22 01:07:30,"It has been almost 3 years; why hasn’t BLM been labeled a domestic terrorist org, why hasn’t BLM profiteers had to… https://t.co/3UIwRoh2KY",0,Twitter for iPhone,
